Unnamed: 0,sub_red,verdict,post
,depression,True,"As someone who’s gone through depression in the past and still faces it partly today, i’ve always found a great way of working through it was just talking. Thought i’d put this out there so if anyone ever wanted to talk privately they could, i’m always here for yall 🫶"
,depression,True,I don't know what would help besides killing me blowing my brains out all over the wall but I just want it to stop I can't handle living anymore 27 years was enough I want off stop it please
,depression,True,I am 27m. I have been battling gambling addiction for a while. I always tell myself i would stop. This time i fucked up bad.
,depression,False,"I was moneyless cause i gambled away my paycheck. It was going well, i didn't need any money so it was fine. Then, the other day, i got fined while driving. I asked for a cash advance on my paycheck, i wanted a small sum (paycheck is due in less than a week anyway), and my boss gave me almost all of it instead. I gambled it away. Again."
,depression,True,"I wanted to use that money to go on vacation, to take a break from my bleak life. Now i can't."
,depression,True,"27 years and i squandered away everything. I have a good paying job, i should have a lot of money, instead this year i got wrapped into this and can't find a way out."
,depression,True,I am beyond help.
,sad,False,"Does anyone else feel so shy that it actually makes you sad? Like you want to talk, connect, and be part of things… but your body just freezes. How do you deal with that?”"
,sad,True,"Not sure what flair but here it goes Everyday I wake up of wanting to end myself. Having thoughts everyday 24/7 on when should I do it. I also have been saving money so I can least leave a savings to my family. I tried exercising lost about 10kgs (im obese btw) and though the thoughts would go away but even during that time when I am doing some workout I keep thinking its not worth it you are not going to make it you are a fuck up. Then that 10kg came back and now I fear I may get diabetes, my family has a history of it. I tried all of the distractions. I keep getting back to that point that i just keep eating and eating and just doomscrolling just staring at my screen. Even at work I just want it to end. Been thinking about it by 30 I might do it and I am just counting down. Even found a way to do it painless."
,sad,False,I 24 F have essentially been single forever. Had a high school boyfriend but nothing serious in adulthood. And to be clear- I’m not desperately seeking a relationship. It’s definitely something I desire but something genuine.
,sad,True,Family was strict growing up so when I became an adult they just expected me to know how to date out of nowhere. I didn’t start feeling this sad about it until ALL of my friends are in serious relationships.. I barely got to see them before and now almost never. I don’t feel that I’m ugly so maybe I’m just a late bloomer. And I know I shouldn’t compare myself but I’m now really feeling the loneliness .
,sad,False,"Not even exaggerating but everyone in my immediate circle (household,friends,even long distance friends) is in a committed relationship.  And not to sound cringe but I feel left out because I’m the ONLY single person I know so it makes me feel something is the problem with me. And I try to fake the funk like I’m completely happy but deep down I desire romance,love,companionship etc"
,sad,False,I
