Unnamed: 0,post,verdict,post.1,verdict.1,sub_red,post,verdict
0.0,dummy,data,"I feel like I’m stuck in this stage in my relationship where we keep seeing each other’s flaws and tension is high. Lately, I’ve been feeling really low, even though I act like everything’s fine. I know he’s been distant and I’m almost certain he’s going to break up with me soon. It’s like there’s this constant, heavy dot of anxiety in my chest, and I don’t know how to deal with it. I just feel helpless and scared about what’s coming. I keep replaying every little thing he said or did, trying to guess when it will happen. I feel trapped in my own thoughts, like I can’t breathe, but I can’t bring myself to let go either. Part of me wants to fight for us, but another part knows it’s over. I just want to feel calm again, to stop this heavy knot in my chest, but right now, it feels impossible.",True,depression,i’m 26 turning 27 in June 2026 and i’m really struggling with the reality that i’m getting older and running out of time. I am in a depressive episode at the moment (the worst i have ever been) we’re in fine one minute and crying the next.,False
,hi I just saw that the new octopath came out and I think this series is one of the most good and cool looking one so I want to get into the series in terms of story narrative is there a order to it chronologically and if so what the order is,False,,,,,
,"I'm probably beating a dead horse at this point, I had heard murmurings of it yesterday.  I was nervous going in from the previews.  Turns out Miles was indeed just a silly little tutorial goofball and he even says when you go to the next area that he's going to F off and you can contact him.  Great, super enjoying the game.",False,,,,,
,"em>Does anyone else feel so shy that it actually makes you sad? Like you want to talk, connect, and be part of things… but your body just freezes. How do you deal with that?”</em",False,,,,,
,"Not sure what flair but here it goes Everyday I wake up of wanting to end myself. Having thoughts everyday 24/7 on when should I do it. I also have been saving money so I can least leave a savings to my family. I tried exercising lost about 10kgs (im obese btw) and though the thoughts would go away but even during that time when I am doing some workout I keep thinking its not worth it you are not going to make it you are a fuck up. Then that 10kg came back and now I fear I may get diabetes, my family has a history of it. I tried all of the distractions. I keep getting back to that point that i just keep eating and eating and just doomscrolling just staring at my screen. Even at work I just want it to end. Been thinking about it by 30 I might do it and I am just counting down. Even found a way to do it painless.",True,,,,,
,I 24 F have essentially been single forever. Had a high school boyfriend but nothing serious in adulthood. And to be clear- I’m not desperately seeking a relationship. It’s definitely something I desire but something genuine.,False,,,,,
,"I’m sorry for anyone that ends up having to read my bitching but I really don’t know where else to go to atp. I’m scared to die but I think my shitty life outweighs whatever fear that I have. Every day is a fight with myself to even live anymore, I’m so tired of this. I’m sorry to have to post this but I’m starting to get desperate at this point does anyone have any advice on how to not die. This will probably get buried with like 13 views and no replies but I don’t know what else to do.",True,,,,,
,"I hate this illness so much. For the first time in years things are going okay, I have a loving partner, no longer completely broke, I finally have my health and I am still absolutely miserable. I feel like such a piece of shit for it too, because I am so privileged but still depressed.",True,,,,,
,"I wish there was ethical suicide where I live. I wish people could understand that I don’t want to be here and I wish it wouldn’t affect them. I’m not doing anything bc my mom would be sad. But so I much I wish she could just let me go. I’m so tired. I’ve been feeling this for 20 years. I have gotten helped. I have diagnosis. I have been medicated. I have been hospitalized. I’ve done it all and I’m just so tired. I wish more than anything that I could just feel like not dying was a solution. I wish I could see the merit in existing but so taxing. I’m so tired. I am jobless I don’t even do anything, my mom is kind enough to just let me exist in her house for free as long as volunteer sometimes and even that’s too much. What is wrong with me. I wish there was just scan they could do on my brain and it’s x, y, and z. This is the treatment and I wish it would work. The last time I was taking meds I was on 11. 11 mediations for me to be capable of showering and talking, not even well, just function-able. And I feel seen and heard and I have been helped, so well and with great care, but I just have this innate need to go. I’m not supposed to be here. Here feels so wrong. I am only 27. I am only 27 and I am so broken. I just wish I could still and petrify. I am not okay as this person it’s awful here.",True,,,,,
,"Ive always told myself I would live for my dog and now something has caused my dog to get sick and I had no other choice but to euthanize him. I dont have nothing else to live for anymore, my dog was the only one who understood and catered to me in my worse times. I dont know if i want to live on knowing i have no friends, no companion, and no life in college. Im contemplating on hanging myself again... this pain feels 10x worse than how it felt hanging myself.",True,,,,,
,I’ve been going through a lot and lost a lot of friends the people I usually talk to but recently my life has gotten to the point where I’m not sure who is friend or foe and I’m stuck in a void of being able to feel friendship again,True,,,,,
,Anyone who sees this and needs someone that they don’t know to vent to or talk about anything in general I’m here to help I want to give to this community and be someone who can change a life even if it’s for a night or forever,True,,,,,
,"No escape from loneliness and the weight of depression. Life has always felt like this, since childhood....an unending echo of silence. I long for those days when childhood was still mine, before the world grew cold and silent. As I’ve grown older, all I see around me is emptiness, a vast, single dimension where I am utterly alone. It’s as if I never chose this life; it feels predestined, as if fate carved out this path for me.",True,,,,,
,I hope everyone is having a fantastic night. I took some things and feel so euphoric and at oeace righr now. Trying ro keep myself uo haha,False,,,,,
,got into the bad hobby of anonymously buying feet pictures from my sister in law.,False,,,,,
,"I’m 16m and ever since covid, I just don’t feel attached to much of anything going on around me. I feel so stuck in my head, over-analyzing everything I do or have ever done. I just don’t feel truly alive and my life feels dream like. It’s like the world around me doesn’t seem as like, big, I guess, like I’m not really looking at shit, I don’t know how to describe it. I’m really anxious and I think that might be why. This past summer it was really bad, I never really felt awake and alive, everything felt so hazy and far apart. When school started again, shit got so much better and I felt more alive and I stopped thinking about it as much. But recently it’s been worse and it’s affecting my mental health and how I perform at school and work. I think I might just be spiraling and thinking about it too much, but honesty I just can’t stop being stuck in my head. I also can’t stop dwelling on shit I did in the past and this gets even worse when I smoke. I honestly just don’t know what to do at this point, it really sucks, I’m just genuinely trapped in metacognition and my own conscious. What the fuck do I do?",True,,,,,
,Hello to whom this may concern I’ve been feeling like shit I’ve attempted to seppuku myself with melatonin I’ve just tried drinking dettol I’m a fucking mess wish I knew what was wrong with me. I feel like I’ve jump into a void an abyss of some sorts everyday I go to work just to deal with the burden of closing a shitty maccas job it sucks people say fast food is easy. Yeah it’s easy when you’re not the one closing the place just want to know how people found them selves,True,,,,,
,"so, my dad wants to force me to do something really really miserable and bad or he’ll abandon me, also a pile of mental disorders and my life is a joke",False,,,,,
